uid,created_at,updated_at,deleted_at,crop_uid,season,score
crop-season-050-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-050,RABI,0
crop-season-050-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-050,ZAID,2
crop-season-050-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-050,LONGTERM,0
crop-season-051-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-051,KHARIF,2
crop-season-051-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-051,RABI,0
crop-season-051-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-051,ZAID,0
crop-season-051-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-051,LONGTERM,0
crop-season-052-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-052,KHARIF,2
crop-season-052-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-052,RABI,2
crop-season-052-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-052,ZAID,0
crop-season-052-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-052,LONGTERM,0
crop-season-053-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-053,KHARIF,2
crop-season-053-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-053,RABI,2
crop-season-053-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-053,ZAID,0
crop-season-053-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-053,LONGTERM,0
crop-season-054-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-054,KHARIF,2
crop-season-054-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-054,RABI,2
crop-season-054-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-054,ZAID,0
crop-season-054-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-054,LONGTERM,0
crop-season-055-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-055,KHARIF,0
crop-season-055-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-055,RABI,2
crop-season-055-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-055,ZAID,0
crop-season-055-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-055,LONGTERM,0
crop-season-056-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-056,KHARIF,0
crop-season-056-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-056,RABI,0
crop-season-056-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-056,ZAID,2
crop-season-056-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-056,LONGTERM,0
crop-season-057-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-057,KHARIF,0
crop-season-057-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-057,RABI,0
crop-season-057-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-057,ZAID,2
crop-season-057-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-057,LONGTERM,0
crop-season-058-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-058,KHARIF,2
crop-season-058-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-058,RABI,0
crop-season-058-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-058,ZAID,0
crop-season-058-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-058,LONGTERM,0
crop-season-059-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-059,KHARIF,1
crop-season-059-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-059,RABI,1
crop-season-059-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-059,ZAID,0
crop-season-059-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-059,LONGTERM,2
crop-season-060-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-060,KHARIF,1
crop-season-060-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-060,RABI,1
crop-season-060-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-060,ZAID,0
crop-season-060-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-060,LONGTERM,2
crop-season-061-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-061,KHARIF,2
crop-season-061-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-061,RABI,0
crop-season-061-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-061,ZAID,0
crop-season-061-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-061,LONGTERM,2
crop-season-062-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-062,KHARIF,2
crop-season-062-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-062,RABI,0
crop-season-062-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-062,ZAID,0
crop-season-062-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-062,LONGTERM,2
